
Single datacenter : one node  

[root@cassandra01 conf]# nodetool ring

Datacenter: datacenter1
==========
Address      Rack        Status State   Load            Owns                Token
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             7668669740342662434
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             7808595127343128418
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             7841014902661126528
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             7924177858194484797
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             7953570817336484129
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             8089406809800257891
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             8204959139097037552
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             8256760952822311472
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             8357172408774765563
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             8391894605482266754
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             8396901812668086994
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             8517615271989449322
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             8563631180765509677
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             8571366863725079792
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             8625117783238373879
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             8676466472409110038
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             8709254284434893624
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             8744838324239480985
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             8767933579024102323
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             8779516295648446990
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             8919067821643459094
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             9173950589838370640
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             9195752533294144905
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             9211788749115540995

--------------------------------------------------------------------------------------------------------------------------------------------------

once 3 nodes on cassandra 01 02 03 have been set up 

Datacenter: datacenter1
==========
Address      Rack        Status State   Load            Owns                Token                      
9189382565225211667         
172.20.0.42  rack1       Up     Normal  70.2 KiB        36.54%              -9207014230125718133        
172.20.0.42  rack1       Up     Normal  70.2 KiB        36.54%              -9113971976698666968        
172.20.0.42  rack1       Up     Normal  70.2 KiB        36.54%              -9078905406326184330        
172.20.0.43  rack1       Up     Normal  88.1 KiB        33.89%              -9020815249131243199        
172.20.0.43  rack1       Up     Normal  88.1 KiB        33.89%              -9016924960183407425        
172.20.0.42  rack1       Up     Normal  70.2 KiB        36.54%              -9003674742092022676        
172.20.0.43  rack1       Up     Normal  88.1 KiB        33.89%              -8966871187895734401        
172.20.0.43  rack1       Up     Normal  88.1 KiB        33.89%              -8930081728435034708        
172.20.0.41  rack1       Up     Normal  1.36 MiB        29.57%              -8914525075080843357        
172.20.0.41  rack1       Up     Normal  1.36 MiB        29.57%              -8897933766685424111        
172.20.0.41  rack1       Up     Normal  1.36 MiB        29.57%              -8881117062624108260        
172.20.0.43  rack1       Up     Normal  88.1 KiB        33.89%              -8821401302289440105        
172.20.0.43  rack1       Up     Normal  88.1 KiB        33.89%              -8803223694141214757        
172.20.0.43  rack1       Up     Normal  88.1 KiB        33.89%              -8799767115473130810        
172.20.0.41  rack1       Up     Normal  1.36 MiB        29.57%              -8751395995498767239        
172.20.0.43  rack1       Up     Normal  88.1 KiB        33.89%              -8740894424954947512        
172.20.0.42  rack1       Up     Normal  70.2 KiB        36.54%              -8726943741385699624        
172.20.0.42  rack1       Up     Normal  70.2 KiB        36.54%              -8693886631761430115        
172.20.0.42  rack1       Up     Normal  70.2 KiB        36.54%              -8652732437066706876        
172.20.0.41  rack1       Up     Normal  1.36 MiB        29.57%              -8646127399202863628        
